plot,site,system_category
EDILLILIE_S2.2_P1234_R3,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S1.1_P1212_R1,EDILLILIE,Baseline (Std N)
EDILLILIE_S2.2_P4123_R2,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P2341_R2,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.1_P4123_R1,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S3_P1234_R2,EDILLILIE,Pulse-canola
EDILLILIE_S3_P3412_R2,EDILLILIE,Pulse-canola
EDILLILIE_S2.2_P4123_R1,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.1_P2341_R3,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S1.3_P1212_R1,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S1.2_P2121_R3,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S1.1_P2121_R1,EDILLILIE,Baseline (Std N)
EDILLILIE_S3_P4123_R2,EDILLILIE,Pulse-canola
EDILLILIE_S3_P1234_R3,EDILLILIE,Pulse-canola
EDILLILIE_S1.3_P1212_R3,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S3_P4123_R3,EDILLILIE,Pulse-canola
EDILLILIE_S1.1_P2121_R3,EDILLILIE,Baseline (Std N)
EDILLILIE_S2.2_P1234_R1,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S3_P1234_R1,EDILLILIE,Pulse-canola
EDILLILIE_S1.2_P2121_R1,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S2.2_P1234_R2,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S1.2_P1212_R3,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S3_P2341_R1,EDILLILIE,Pulse-canola
EDILLILIE_S3_P3412_R3,EDILLILIE,Pulse-canola
EDILLILIE_S1.1_P1212_R2,EDILLILIE,Baseline (Std N)
EDILLILIE_S1.2_P1212_R1,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S1.2_P2121_R2,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S1.3_P1212_R2,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S3_P2341_R2,EDILLILIE,Pulse-canola
EDILLILIE_S3_P4123_R1,EDILLILIE,Pulse-canola
EDILLILIE_S2.2_P2341_R1,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P3412_R3,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P4123_R3,EDILLILIE,Alternative pulse (Dec 7 N)
EDILLILIE_S2.1_P4123_R2,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R3,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R2,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S1.2_P1212_R2,EDILLILIE,Baseline (Dec 2 N)
EDILLILIE_S2.1_P2341_R2,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S1.3_P2121_R2,EDILLILIE,Baseline (Dec 7 N)
EDILLILIE_S2.1_P1234_R1,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S3_P3412_R1,EDILLILIE,Pulse-canola
EDILLILIE_S2.1_P2341_R1,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S1.1_P2121_R2,EDILLILIE,Baseline (Std N)
EDILLILIE_S2.1_P1234_R3,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P4123_R3,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S3_P2341_R3,EDILLILIE,Pulse-canola
EDILLILIE_S2.1_P1234_R2,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R1,EDILLILIE,Alternative pulse (Dec 2 N)
EDILLILIE_S1.1_P1212_R3,EDILLILIE,Baseline (Std N)
WARRAMBINE_S4_P2312_R1,WARRAMBINE,Pasture 1/3
WARRAMBINE_S5_P3123_R1,WARRAMBINE,Winter cover cropping
WARRAMBINE_S3_P3123_R2,WARRAMBINE,Alternative pulse
WARRAMBINE_S5_P2312_R3,WARRAMBINE,Winter cover cropping
WARRAMBINE_S1_P1212_R1,WARRAMBINE,Baseline
WARRAMBINE_S5_P2312_R1,WARRAMBINE,Winter cover cropping
WARRAMBINE_S6_P0000_R3,WARRAMBINE,Responsive: Enhance soil health
WARRAMBINE_S4_P1231_R2,WARRAMBINE,Pasture 1/3
WARRAMBINE_S6_P0000_R2,WARRAMBINE,Responsive: Enhance soil health
WARRAMBINE_S1_P2121_R1,WARRAMBINE,Baseline
WARRAMBINE_S2_P2312_R3,WARRAMBINE,Pulse-canola
WARRAMBINE_S2_P1231_R1,WARRAMBINE,Pulse-canola
WARRAMBINE_S2_P3123_R3,WARRAMBINE,Pulse-canola
WARRAMBINE_S2_P1231_R2,WARRAMBINE,Pulse-canola
WARRAMBINE_S3_P3123_R1,WARRAMBINE,Alternative pulse
WARRAMBINE_S3_P2312_R2,WARRAMBINE,Alternative pulse
WARRAMBINE_S6_P0000_R1,WARRAMBINE,Responsive: Enhance soil health
WARRAMBINE_S5_P2312_R2,WARRAMBINE,Winter cover cropping
WARRAMBINE_S3_P2312_R3,WARRAMBINE,Alternative pulse
WARRAMBINE_S4_P3123_R1,WARRAMBINE,Pasture 1/3
WARRAMBINE_S1_P2121_R2,WARRAMBINE,Baseline
WARRAMBINE_S3_P2312_R1,WARRAMBINE,Alternative pulse
WARRAMBINE_S4_P3123_R3,WARRAMBINE,Pasture 1/3
WARRAMBINE_S4_P2312_R2,WARRAMBINE,Pasture 1/3
WARRAMBINE_S4_P3123_R2,WARRAMBINE,Pasture 1/3
WARRAMBINE_S3_P1231_R2,WARRAMBINE,Alternative pulse
WARRAMBINE_S5_P1231_R2,WARRAMBINE,Winter cover cropping
WARRAMBINE_S3_P1231_R3,WARRAMBINE,Alternative pulse
WARRAMBINE_S4_P1231_R1,WARRAMBINE,Pasture 1/3
WARRAMBINE_S1_P1212_R3,WARRAMBINE,Baseline
WARRAMBINE_S2_P3123_R1,WARRAMBINE,Pulse-canola
WARRAMBINE_S5_P1231_R1,WARRAMBINE,Winter cover cropping
WARRAMBINE_S5_P3123_R3,WARRAMBINE,Winter cover cropping
WARRAMBINE_S3_P3123_R3,WARRAMBINE,Alternative pulse
WARRAMBINE_S3_P1231_R1,WARRAMBINE,Alternative pulse
WARRAMBINE_S4_P1231_R3,WARRAMBINE,Pasture 1/3
WARRAMBINE_S2_P1231_R3,WARRAMBINE,Pulse-canola
WARRAMBINE_S7_P0000_R1,WARRAMBINE,Responsive: Adviser (risk-neutral)
WARRAMBINE_S1_P2121_R3,WARRAMBINE,Baseline
WARRAMBINE_S2_P2312_R1,WARRAMBINE,Pulse-canola
WARRAMBINE_S4_P2312_R3,WARRAMBINE,Pasture 1/3
WARRAMBINE_S5_P1231_R3,WARRAMBINE,Winter cover cropping
WARRAMBINE_S2_P3123_R2,WARRAMBINE,Pulse-canola
WARRAMBINE_S7_P0000_R2,WARRAMBINE,Responsive: Adviser (risk-neutral)
WARRAMBINE_S7_P0000_R3,WARRAMBINE,Responsive: Adviser (risk-neutral)
WARRAMBINE_S5_P3123_R2,WARRAMBINE,Winter cover cropping
WARRAMBINE_S2_P2312_R2,WARRAMBINE,Pulse-canola
WARRAMBINE_S1_P1212_R2,WARRAMBINE,Baseline
APPILA_S1_P1231_R2,APPILA,Baseline
APPILA_S3_P1234_R3,APPILA,Pulse-canola
APPILA_S4_P2312_R2,APPILA,Hay
APPILA_S3_P4123_R2,APPILA,Pulse-canola
APPILA_S6_P0000_R3,APPILA,Responsive: Adviser (risk-tolerant)
APPILA_S4_P3123_R1,APPILA,Hay
APPILA_S3_P2341_R2,APPILA,Pulse-canola
APPILA_S6_P0000_R1,APPILA,Responsive: Adviser (risk-tolerant)
APPILA_S3_P4123_R1,APPILA,Pulse-canola
APPILA_S6_P0000_R2,APPILA,Responsive: Adviser (risk-tolerant)
APPILA_S4_P1231_R3,APPILA,Hay
APPILA_S1_P2312_R1,APPILA,Baseline
APPILA_S4_P3123_R2,APPILA,Hay
APPILA_S4_P1231_R1,APPILA,Hay
APPILA_S3_P3412_R1,APPILA,Pulse-canola
APPILA_S1_P1231_R3,APPILA,Baseline
APPILA_S1_P3123_R2,APPILA,Baseline
APPILA_S2_P1212_R1,APPILA,More pulses
APPILA_S4_P2312_R3,APPILA,Hay
APPILA_S3_P3412_R2,APPILA,Pulse-canola
APPILA_S2_P1212_R2,APPILA,More pulses
APPILA_S3_P1234_R2,APPILA,Pulse-canola
APPILA_S3_P2341_R3,APPILA,Pulse-canola
APPILA_S3_P2341_R1,APPILA,Pulse-canola
APPILA_S1_P3123_R3,APPILA,Baseline
APPILA_S2_P2121_R1,APPILA,More pulses
APPILA_S5_P0000_R3,APPILA,Responsive: Adviser (risk-averse)
APPILA_S2_P2121_R2,APPILA,More pulses
APPILA_S2_P2121_R3,APPILA,More pulses
APPILA_S4_P3123_R3,APPILA,Hay
APPILA_S4_P2312_R1,APPILA,Hay
APPILA_S5_P0000_R1,APPILA,Responsive: Adviser (risk-averse)
APPILA_S3_P3412_R3,APPILA,Pulse-canola
APPILA_S1_P2312_R2,APPILA,Baseline
APPILA_S3_P1234_R1,APPILA,Pulse-canola
APPILA_S4_P1231_R2,APPILA,Hay
APPILA_S1_P3123_R1,APPILA,Baseline
APPILA_S3_P4123_R3,APPILA,Pulse-canola
APPILA_S1_P2312_R3,APPILA,Baseline
APPILA_S1_P1231_R1,APPILA,Baseline
APPILA_S2_P1212_R3,APPILA,More pulses
APPILA_S5_P0000_R2,APPILA,Responsive: Adviser (risk-averse)
KINNABULLA_S2.1_P1212_R2,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S3_P2312_R3,KINNABULLA,Pulse on pulse
KINNABULLA_S11_P2312_R3,KINNABULLA,Mixed winter cover crop
KINNABULLA_S5_P2121_R2,KINNABULLA,Legume-barley
KINNABULLA_S11_P1231_R3,KINNABULLA,Mixed winter cover crop
KINNABULLA_S4_P3412_R3,KINNABULLA,Pulse-canola
KINNABULLA_S13_P0000_R2,KINNABULLA,Responsive: N bank
KINNABULLA_S13_P0000_R4,KINNABULLA,Responsive: N bank
KINNABULLA_S5_P2121_R3,KINNABULLA,Legume-barley
KINNABULLA_S10_P2312_R1,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S11_P1231_R2,KINNABULLA,Mixed winter cover crop
KINNABULLA_S3_P1231_R3,KINNABULLA,Pulse on pulse
KINNABULLA_S8_P3123_R2,KINNABULLA,Fallow
KINNABULLA_S1.3_P3123_R3,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S14_P0000_R6,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S1.1_P1231_R2,KINNABULLA,Baseline (SDP N)
KINNABULLA_S1.2_P3123_R3,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S9.1_P3123_R2,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S1.2_P1231_R2,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S7_P1111_R1,KINNABULLA,Continous wheat
KINNABULLA_S9.2_P2312_R3,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S4_P4123_R1,KINNABULLA,Pulse-canola
KINNABULLA_S10_P2312_R2,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S13_P0000_R9,KINNABULLA,Responsive: N bank
KINNABULLA_S10_P1231_R1,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S10_P2312_R3,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S3_P1231_R1,KINNABULLA,Pulse on pulse
KINNABULLA_S2.2_P2121_R2,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S10_P1231_R2,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S8_P1231_R1,KINNABULLA,Fallow
KINNABULLA_S4_P3412_R1,KINNABULLA,Pulse-canola
KINNABULLA_S8_P2312_R2,KINNABULLA,Fallow
KINNABULLA_S13_P0000_R1,KINNABULLA,Responsive: N bank
KINNABULLA_S10_P3123_R2,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S5_P1212_R3,KINNABULLA,Legume-barley
KINNABULLA_S2.2_P1212_R3,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S1.3_P1231_R1,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S4_P2341_R1,KINNABULLA,Pulse-canola
KINNABULLA_S1.3_P3123_R2,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S4_P3412_R2,KINNABULLA,Pulse-canola
KINNABULLA_S2.1_P1212_R1,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S7_P1111_R2,KINNABULLA,Continous wheat
KINNABULLA_S3_P1231_R2,KINNABULLA,Pulse on pulse
KINNABULLA_S7_P1111_R4,KINNABULLA,Continous wheat
KINNABULLA_S12_P0000_R1,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S10_P3123_R3,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S1.2_P2312_R2,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S12_P0000_R2,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S1.1_P1231_R1,KINNABULLA,Baseline (SDP N)
KINNABULLA_S1.1_P3123_R3,KINNABULLA,Baseline (SDP N)
KINNABULLA_S11_P3123_R2,KINNABULLA,Mixed winter cover crop
KINNABULLA_S4_P1234_R2,KINNABULLA,Pulse-canola
KINNABULLA_S4_P1234_R1,KINNABULLA,Pulse-canola
KINNABULLA_S6_P2341_R2,KINNABULLA,More cereals
KINNABULLA_S8_P3123_R3,KINNABULLA,Fallow
KINNABULLA_S3_P2312_R1,KINNABULLA,Pulse on pulse
KINNABULLA_S3_P3123_R2,KINNABULLA,Pulse on pulse
KINNABULLA_S6_P4123_R3,KINNABULLA,More cereals
KINNABULLA_S1.1_P2312_R1,KINNABULLA,Baseline (SDP N)
KINNABULLA_S4_P1234_R3,KINNABULLA,Pulse-canola
KINNABULLA_S2.2_P2121_R1,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S12_P0000_R9,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S13_P0000_R8,KINNABULLA,Responsive: N bank
KINNABULLA_S11_P3123_R3,KINNABULLA,Mixed winter cover crop
KINNABULLA_S1.3_P1231_R3,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S9.1_P2312_R1,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S6_P3412_R3,KINNABULLA,More cereals
KINNABULLA_S9.2_P3123_R2,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S12_P0000_R6,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S1.3_P3123_R1,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S11_P2312_R1,KINNABULLA,Mixed winter cover crop
KINNABULLA_S8_P1231_R2,KINNABULLA,Fallow
KINNABULLA_S6_P4123_R1,KINNABULLA,More cereals
KINNABULLA_S14_P0000_R2,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S9.1_P2312_R2,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S2.1_P2121_R3,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S9.1_P2312_R3,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S14_P0000_R8,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S12_P0000_R5,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S2.1_P2121_R2,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S3_P2312_R2,KINNABULLA,Pulse on pulse
KINNABULLA_S13_P0000_R3,KINNABULLA,Responsive: N bank
KINNABULLA_S9.2_P1231_R2,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S1.3_P1231_R2,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S4_P2341_R2,KINNABULLA,Pulse-canola
KINNABULLA_S14_P0000_R3,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R9,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S1.3_P2312_R3,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S11_P2312_R2,KINNABULLA,Mixed winter cover crop
KINNABULLA_S2.1_P2121_R1,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S9.2_P3123_R3,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S2.1_P1212_R3,KINNABULLA,More pulses (Dec 5 N)
KINNABULLA_S6_P1234_R3,KINNABULLA,More cereals
KINNABULLA_S10_P3123_R1,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S4_P4123_R2,KINNABULLA,Pulse-canola
KINNABULLA_S8_P3123_R1,KINNABULLA,Fallow
KINNABULLA_S1.1_P2312_R3,KINNABULLA,Baseline (SDP N)
KINNABULLA_S1.1_P2312_R2,KINNABULLA,Baseline (SDP N)
KINNABULLA_S2.2_P1212_R1,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S12_P0000_R8,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R3,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S5_P1212_R2,KINNABULLA,Legume-barley
KINNABULLA_S6_P1234_R1,KINNABULLA,More cereals
KINNABULLA_S1.1_P3123_R1,KINNABULLA,Baseline (SDP N)
KINNABULLA_S6_P2341_R3,KINNABULLA,More cereals
KINNABULLA_S3_P3123_R1,KINNABULLA,Pulse on pulse
KINNABULLA_S1.2_P1231_R3,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S10_P1231_R3,KINNABULLA,Alternative winter cover cropping
KINNABULLA_S13_P0000_R5,KINNABULLA,Responsive: N bank
KINNABULLA_S4_P2341_R3,KINNABULLA,Pulse-canola
KINNABULLA_S14_P0000_R7,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S7_P1111_R3,KINNABULLA,Continous wheat
KINNABULLA_S6_P4123_R2,KINNABULLA,More cereals
KINNABULLA_S1.2_P2312_R1,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S3_P3123_R3,KINNABULLA,Pulse on pulse
KINNABULLA_S8_P1231_R3,KINNABULLA,Fallow
KINNABULLA_S1.3_P2312_R1,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S13_P0000_R7,KINNABULLA,Responsive: N bank
KINNABULLA_S14_P0000_R1,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S6_P3412_R1,KINNABULLA,More cereals
KINNABULLA_S9.1_P1231_R3,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S6_P1234_R2,KINNABULLA,More cereals
KINNABULLA_S8_P2312_R1,KINNABULLA,Fallow
KINNABULLA_S14_P0000_R5,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R4,KINNABULLA,Responsive: Less chemical inputs
KINNABULLA_S5_P1212_R1,KINNABULLA,Legume-barley
KINNABULLA_S2.2_P1212_R2,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S8_P2312_R3,KINNABULLA,Fallow
KINNABULLA_S9.2_P3123_R1,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S13_P0000_R6,KINNABULLA,Responsive: N bank
KINNABULLA_S1.2_P3123_R1,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S1.2_P3123_R2,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S9.1_P3123_R1,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S9.2_P2312_R2,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S12_P0000_R4,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S9.1_P3123_R3,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S1.1_P3123_R2,KINNABULLA,Baseline (SDP N)
KINNABULLA_S2.2_P2121_R3,KINNABULLA,More pulses (Dec 9 N)
KINNABULLA_S5_P2121_R1,KINNABULLA,Legume-barley
KINNABULLA_S11_P1231_R1,KINNABULLA,Mixed winter cover crop
KINNABULLA_S9.2_P1231_R3,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S1.3_P2312_R2,KINNABULLA,Baseline (Dec 9 N)
KINNABULLA_S7_P1111_R6,KINNABULLA,Continous wheat
KINNABULLA_S7_P1111_R5,KINNABULLA,Continous wheat
KINNABULLA_S9.1_P1231_R2,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S1.1_P1231_R3,KINNABULLA,Baseline (SDP N)
KINNABULLA_S1.2_P1231_R1,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S9.1_P1231_R1,KINNABULLA,Winter cover cropping (Early TOT)
KINNABULLA_S9.2_P1231_R1,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P2312_R1,KINNABULLA,Winter cover cropping (Late TOT)
KINNABULLA_S6_P2341_R1,KINNABULLA,More cereals
KINNABULLA_S12_P0000_R7,KINNABULLA,Responsive: Adviser (risk-neutral)
KINNABULLA_S4_P4123_R3,KINNABULLA,Pulse-canola
KINNABULLA_S6_P3412_R2,KINNABULLA,More cereals
KINNABULLA_S1.2_P2312_R3,KINNABULLA,Baseline (Dec 5 N)
KINNABULLA_S11_P3123_R1,KINNABULLA,Mixed winter cover crop
ROSEWORTHY_S8_P0212_R3,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S1.1_P1231_R3,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S4_P3123_R1,ROSEWORTHY,Intercropping
ROSEWORTHY_S1.1_P3123_R1,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S4_P3123_R2,ROSEWORTHY,Intercropping
ROSEWORTHY_S2_P2121_R2,ROSEWORTHY,More pulses
ROSEWORTHY_S6_P0000_R1,ROSEWORTHY,Responsive: Enhance soil health
ROSEWORTHY_S1.2_P1231_R1,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S8_P0212_R1,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S1.2_P3123_R1,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S1.2_P2312_R3,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S2_P2121_R3,ROSEWORTHY,More pulses
ROSEWORTHY_S2_P1212_R1,ROSEWORTHY,More pulses
ROSEWORTHY_S6_P0000_R2,ROSEWORTHY,Responsive: Enhance soil health
ROSEWORTHY_S5_P0000_R3,ROSEWORTHY,Responsive: Adviser (risk-neutral)
ROSEWORTHY_S1.1_P3123_R3,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S3_P2121_R3,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S1.1_P1231_R1,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S6_P0000_R3,ROSEWORTHY,Responsive: Enhance soil health
ROSEWORTHY_S1.1_P2312_R1,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S8_P0121_R3,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S7_P0000_R2,ROSEWORTHY,Responsive: Organic fertiliser
ROSEWORTHY_S1.1_P2312_R2,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S8_P0121_R2,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S4_P2312_R3,ROSEWORTHY,Intercropping
ROSEWORTHY_S4_P2312_R2,ROSEWORTHY,Intercropping
ROSEWORTHY_S1.1_P2312_R3,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S3_P1212_R2,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S1.1_P1231_R2,ROSEWORTHY,Baseline (SDP N)
ROSEWORTHY_S3_P1212_R1,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S4_P1231_R3,ROSEWORTHY,Intercropping
ROSEWORTHY_S1.2_P3123_R3,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S4_P1231_R2,ROSEWORTHY,Intercropping
ROSEWORTHY_S7_P0000_R1,ROSEWORTHY,Responsive: Organic fertiliser
ROSEWORTHY_S5_P0000_R2,ROSEWORTHY,Responsive: Adviser (risk-neutral)
ROSEWORTHY_S4_P1231_R1,ROSEWORTHY,Intercropping
ROSEWORTHY_S4_P3123_R3,ROSEWORTHY,Intercropping
ROSEWORTHY_S1.2_P3123_R2,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S1.2_P1231_R3,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S1.2_P2312_R2,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S2_P1212_R3,ROSEWORTHY,More pulses
ROSEWORTHY_S2_P2121_R1,ROSEWORTHY,More pulses
ROSEWORTHY_S1.2_P1231_R2,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S3_P1212_R3,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S2_P1212_R2,ROSEWORTHY,More pulses
ROSEWORTHY_S3_P2121_R2,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S8_P0121_R1,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S1.2_P2312_R1,ROSEWORTHY,Baseline (BMP N)
ROSEWORTHY_S8_P0212_R2,ROSEWORTHY,High value broadleaf
ROSEWORTHY_S3_P2121_R1,ROSEWORTHY,Winter cover cropping
ROSEWORTHY_S4_P2312_R1,ROSEWORTHY,Intercropping
ROSEWORTHY_S5_P0000_R1,ROSEWORTHY,Responsive: Adviser (risk-neutral)
ROSEWORTHY_S7_P0000_R3,ROSEWORTHY,Responsive: Organic fertiliser
ROSEWORTHY_S1.1_P3123_R2,ROSEWORTHY,Baseline (SDP N)
HART_S8_P4123_R3,HART,More cereals
HART_S9_P3412_R2,HART,Winter cover cropping
HART_S4.1_P3412_R2,HART,Canola (Low N)
HART_S4.3_P4123_R3,HART,Canola (High N)
HART_S10.3_P2312_R3,HART,Intercropping (Full N intercrop)
HART_S1.1_P1231_R3,HART,Baseline (SDP N)
HART_S7_P4123_R3,HART,Pulse on pulse
HART_S4.1_P1234_R2,HART,Canola (Low N)
HART_S8_P1234_R3,HART,More cereals
HART_S1.1_P3123_R2,HART,Baseline (SDP N)
HART_S10.3_P3123_R3,HART,Intercropping (Full N intercrop)
HART_S4.1_P1234_R1,HART,Canola (Low N)
HART_S6_P2341_R3,HART,Pulse-canola
HART_S1.2_P1231_R1,HART,Baseline (Mid N)
HART_S9_P2341_R1,HART,Winter cover cropping
HART_S10.2_P2312_R1,HART,Intercropping (Half N intercrop)
HART_S1.2_P2312_R2,HART,Baseline (Mid N)
HART_S8_P4123_R1,HART,More cereals
HART_S10.1_P1231_R1,HART,Intercropping (Nil N intercrop)
HART_S10.3_P3123_R1,HART,Intercropping (Full N intercrop)
HART_S4.1_P1234_R3,HART,Canola (Low N)
HART_S1.1_P2312_R1,HART,Baseline (SDP N)
HART_S10.1_P3123_R3,HART,Intercropping (Nil N intercrop)
HART_S4.3_P2341_R2,HART,Canola (High N)
HART_S4.2_P1234_R1,HART,Canola (Mid N)
HART_S9_P1234_R1,HART,Winter cover cropping
HART_S6_P3412_R2,HART,Pulse-canola
HART_S10.1_P1231_R2,HART,Intercropping (Nil N intercrop)
HART_S4.2_P4123_R2,HART,Canola (Mid N)
HART_S6_P1234_R1,HART,Pulse-canola
HART_S10.3_P2312_R2,HART,Intercropping (Full N intercrop)
HART_S9_P2341_R2,HART,Winter cover cropping
HART_S4.3_P3412_R1,HART,Canola (High N)
HART_S8_P4123_R2,HART,More cereals
