PLOT_ID,Site,System ID,Phase ID,Replicate ID,System detailed description,System category
KINNABULLA_S12_P0000_R5,KINNABULLA,S12,P0000,R5,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R6,KINNABULLA,S12,P0000,R6,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R7,KINNABULLA,S12,P0000,R7,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R8,KINNABULLA,S12,P0000,R8,,Responsive: Adviser (risk-neutral)
KINNABULLA_S12_P0000_R9,KINNABULLA,S12,P0000,R9,,Responsive: Adviser (risk-neutral)
KINNABULLA_S13_P0000_R1,KINNABULLA,S13,P0000,R1,,Responsive: N bank
KINNABULLA_S13_P0000_R2,KINNABULLA,S13,P0000,R2,,Responsive: N bank
KINNABULLA_S13_P0000_R3,KINNABULLA,S13,P0000,R3,,Responsive: N bank
KINNABULLA_S13_P0000_R4,KINNABULLA,S13,P0000,R4,,Responsive: N bank
KINNABULLA_S13_P0000_R5,KINNABULLA,S13,P0000,R5,,Responsive: N bank
KINNABULLA_S13_P0000_R6,KINNABULLA,S13,P0000,R6,,Responsive: N bank
KINNABULLA_S13_P0000_R7,KINNABULLA,S13,P0000,R7,,Responsive: N bank
KINNABULLA_S13_P0000_R8,KINNABULLA,S13,P0000,R8,,Responsive: N bank
KINNABULLA_S13_P0000_R9,KINNABULLA,S13,P0000,R9,,Responsive: N bank
KINNABULLA_S14_P0000_R1,KINNABULLA,S14,P0000,R1,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R2,KINNABULLA,S14,P0000,R2,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R3,KINNABULLA,S14,P0000,R3,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R4,KINNABULLA,S14,P0000,R4,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R5,KINNABULLA,S14,P0000,R5,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R6,KINNABULLA,S14,P0000,R6,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R7,KINNABULLA,S14,P0000,R7,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R8,KINNABULLA,S14,P0000,R8,,Responsive: Less chemical inputs
KINNABULLA_S14_P0000_R9,KINNABULLA,S14,P0000,R9,,Responsive: Less chemical inputs
KINNABULLA_S2.1_P1212_R1,KINNABULLA,S2.1,P1212,R1,,More pulses (Dec 5 N)
KINNABULLA_S2.1_P1212_R2,KINNABULLA,S2.1,P1212,R2,,More pulses (Dec 5 N)
KINNABULLA_S2.1_P1212_R3,KINNABULLA,S2.1,P1212,R3,,More pulses (Dec 5 N)
KINNABULLA_S2.1_P2121_R1,KINNABULLA,S2.1,P2121,R1,,More pulses (Dec 5 N)
KINNABULLA_S2.1_P2121_R2,KINNABULLA,S2.1,P2121,R2,,More pulses (Dec 5 N)
KINNABULLA_S2.1_P2121_R3,KINNABULLA,S2.1,P2121,R3,,More pulses (Dec 5 N)
KINNABULLA_S2.2_P1212_R1,KINNABULLA,S2.2,P1212,R1,,More pulses (Dec 9 N)
KINNABULLA_S2.2_P1212_R2,KINNABULLA,S2.2,P1212,R2,,More pulses (Dec 9 N)
KINNABULLA_S2.2_P1212_R3,KINNABULLA,S2.2,P1212,R3,,More pulses (Dec 9 N)
KINNABULLA_S2.2_P2121_R1,KINNABULLA,S2.2,P2121,R1,,More pulses (Dec 9 N)
KINNABULLA_S2.2_P2121_R2,KINNABULLA,S2.2,P2121,R2,,More pulses (Dec 9 N)
KINNABULLA_S2.2_P2121_R3,KINNABULLA,S2.2,P2121,R3,,More pulses (Dec 9 N)
KINNABULLA_S3_P1231_R1,KINNABULLA,S3,P1231,R1,,Pulse on pulse
KINNABULLA_S3_P1231_R2,KINNABULLA,S3,P1231,R2,,Pulse on pulse
KINNABULLA_S3_P1231_R3,KINNABULLA,S3,P1231,R3,,Pulse on pulse
KINNABULLA_S3_P2312_R1,KINNABULLA,S3,P2312,R1,,Pulse on pulse
KINNABULLA_S3_P2312_R2,KINNABULLA,S3,P2312,R2,,Pulse on pulse
KINNABULLA_S3_P2312_R3,KINNABULLA,S3,P2312,R3,,Pulse on pulse
KINNABULLA_S3_P3123_R1,KINNABULLA,S3,P3123,R1,,Pulse on pulse
KINNABULLA_S3_P3123_R2,KINNABULLA,S3,P3123,R2,,Pulse on pulse
KINNABULLA_S3_P3123_R3,KINNABULLA,S3,P3123,R3,,Pulse on pulse
KINNABULLA_S4_P1234_R1,KINNABULLA,S4,P1234,R1,,Pulse-canola
KINNABULLA_S4_P1234_R2,KINNABULLA,S4,P1234,R2,,Pulse-canola
KINNABULLA_S4_P1234_R3,KINNABULLA,S4,P1234,R3,,Pulse-canola
KINNABULLA_S4_P2341_R1,KINNABULLA,S4,P2341,R1,,Pulse-canola
KINNABULLA_S4_P2341_R2,KINNABULLA,S4,P2341,R2,,Pulse-canola
KINNABULLA_S4_P2341_R3,KINNABULLA,S4,P2341,R3,,Pulse-canola
KINNABULLA_S4_P3412_R1,KINNABULLA,S4,P3412,R1,,Pulse-canola
KINNABULLA_S4_P3412_R2,KINNABULLA,S4,P3412,R2,,Pulse-canola
KINNABULLA_S4_P3412_R3,KINNABULLA,S4,P3412,R3,,Pulse-canola
KINNABULLA_S4_P4123_R1,KINNABULLA,S4,P4123,R1,,Pulse-canola
KINNABULLA_S4_P4123_R2,KINNABULLA,S4,P4123,R2,,Pulse-canola
KINNABULLA_S4_P4123_R3,KINNABULLA,S4,P4123,R3,,Pulse-canola
KINNABULLA_S5_P1212_R1,KINNABULLA,S5,P1212,R1,,Legume-barley
KINNABULLA_S5_P1212_R2,KINNABULLA,S5,P1212,R2,,Legume-barley
KINNABULLA_S5_P1212_R3,KINNABULLA,S5,P1212,R3,,Legume-barley
KINNABULLA_S5_P2121_R1,KINNABULLA,S5,P2121,R1,,Legume-barley
KINNABULLA_S5_P2121_R2,KINNABULLA,S5,P2121,R2,,Legume-barley
KINNABULLA_S5_P2121_R3,KINNABULLA,S5,P2121,R3,,Legume-barley
KINNABULLA_S6_P1234_R1,KINNABULLA,S6,P1234,R1,,More cereals
KINNABULLA_S6_P1234_R2,KINNABULLA,S6,P1234,R2,,More cereals
KINNABULLA_S6_P1234_R3,KINNABULLA,S6,P1234,R3,,More cereals
KINNABULLA_S6_P2341_R1,KINNABULLA,S6,P2341,R1,,More cereals
KINNABULLA_S6_P2341_R2,KINNABULLA,S6,P2341,R2,,More cereals
KINNABULLA_S6_P2341_R3,KINNABULLA,S6,P2341,R3,,More cereals
KINNABULLA_S6_P3412_R1,KINNABULLA,S6,P3412,R1,,More cereals
KINNABULLA_S6_P3412_R2,KINNABULLA,S6,P3412,R2,,More cereals
KINNABULLA_S6_P3412_R3,KINNABULLA,S6,P3412,R3,,More cereals
KINNABULLA_S6_P4123_R1,KINNABULLA,S6,P4123,R1,,More cereals
KINNABULLA_S6_P4123_R2,KINNABULLA,S6,P4123,R2,,More cereals
KINNABULLA_S6_P4123_R3,KINNABULLA,S6,P4123,R3,,More cereals
KINNABULLA_S7_P1111_R1,KINNABULLA,S7,P1111,R1,,Continous wheat
KINNABULLA_S7_P1111_R2,KINNABULLA,S7,P1111,R2,,Continous wheat
KINNABULLA_S7_P1111_R3,KINNABULLA,S7,P1111,R3,,Continous wheat
KINNABULLA_S7_P1111_R4,KINNABULLA,S7,P1111,R4,,Continous wheat
KINNABULLA_S7_P1111_R5,KINNABULLA,S7,P1111,R5,,Continous wheat
KINNABULLA_S7_P1111_R6,KINNABULLA,S7,P1111,R6,,Continous wheat
KINNABULLA_S8_P1231_R1,KINNABULLA,S8,P1231,R1,,Fallow
KINNABULLA_S8_P1231_R2,KINNABULLA,S8,P1231,R2,,Fallow
KINNABULLA_S8_P1231_R3,KINNABULLA,S8,P1231,R3,,Fallow
KINNABULLA_S8_P2312_R1,KINNABULLA,S8,P2312,R1,,Fallow
KINNABULLA_S8_P2312_R2,KINNABULLA,S8,P2312,R2,,Fallow
KINNABULLA_S8_P2312_R3,KINNABULLA,S8,P2312,R3,,Fallow
KINNABULLA_S8_P3123_R1,KINNABULLA,S8,P3123,R1,,Fallow
KINNABULLA_S8_P3123_R2,KINNABULLA,S8,P3123,R2,,Fallow
KINNABULLA_S8_P3123_R3,KINNABULLA,S8,P3123,R3,,Fallow
KINNABULLA_S9.1_P1231_R1,KINNABULLA,S9.1,P1231,R1,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P1231_R2,KINNABULLA,S9.1,P1231,R2,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P1231_R3,KINNABULLA,S9.1,P1231,R3,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P2312_R1,KINNABULLA,S9.1,P2312,R1,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P2312_R2,KINNABULLA,S9.1,P2312,R2,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P2312_R3,KINNABULLA,S9.1,P2312,R3,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P3123_R1,KINNABULLA,S9.1,P3123,R1,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P3123_R2,KINNABULLA,S9.1,P3123,R2,,Winter cover cropping (Early TOT)
KINNABULLA_S9.1_P3123_R3,KINNABULLA,S9.1,P3123,R3,,Winter cover cropping (Early TOT)
KINNABULLA_S9.2_P1231_R1,KINNABULLA,S9.2,P1231,R1,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P1231_R2,KINNABULLA,S9.2,P1231,R2,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P1231_R3,KINNABULLA,S9.2,P1231,R3,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P2312_R1,KINNABULLA,S9.2,P2312,R1,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P2312_R2,KINNABULLA,S9.2,P2312,R2,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P2312_R3,KINNABULLA,S9.2,P2312,R3,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P3123_R1,KINNABULLA,S9.2,P3123,R1,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P3123_R2,KINNABULLA,S9.2,P3123,R2,,Winter cover cropping (Late TOT)
KINNABULLA_S9.2_P3123_R3,KINNABULLA,S9.2,P3123,R3,,Winter cover cropping (Late TOT)
MANANG_S1.1_P1231_R1,MANANG,S1.1,P1231,R1,,Baseline (SDP N)
MANANG_S1.1_P1231_R2,MANANG,S1.1,P1231,R2,,Baseline (SDP N)
MANANG_S1.1_P1231_R3,MANANG,S1.1,P1231,R3,,Baseline (SDP N)
MANANG_S1.1_P2312_R1,MANANG,S1.1,P2312,R1,,Baseline (SDP N)
MANANG_S1.1_P2312_R2,MANANG,S1.1,P2312,R2,,Baseline (SDP N)
MANANG_S1.1_P2312_R3,MANANG,S1.1,P2312,R3,,Baseline (SDP N)
MANANG_S1.1_P3123_R1,MANANG,S1.1,P3123,R1,,Baseline (SDP N)
MANANG_S1.1_P3123_R2,MANANG,S1.1,P3123,R2,,Baseline (SDP N)
MANANG_S1.1_P3123_R3,MANANG,S1.1,P3123,R3,,Baseline (SDP N)
MANANG_S1.2_P1231_R1,MANANG,S1.2,P1231,R1,,Baseline (Dec 5 N)
MANANG_S1.2_P1231_R2,MANANG,S1.2,P1231,R2,,Baseline (Dec 5 N)
MANANG_S1.2_P1231_R3,MANANG,S1.2,P1231,R3,,Baseline (Dec 5 N)
MANANG_S1.2_P2312_R1,MANANG,S1.2,P2312,R1,,Baseline (Dec 5 N)
MANANG_S1.2_P2312_R2,MANANG,S1.2,P2312,R2,,Baseline (Dec 5 N)
MANANG_S1.2_P2312_R3,MANANG,S1.2,P2312,R3,,Baseline (Dec 5 N)
MANANG_S1.2_P3123_R1,MANANG,S1.2,P3123,R1,,Baseline (Dec 5 N)
MANANG_S1.2_P3123_R2,MANANG,S1.2,P3123,R2,,Baseline (Dec 5 N)
MANANG_S1.2_P3123_R3,MANANG,S1.2,P3123,R3,,Baseline (Dec 5 N)
MANANG_S1.3_P1231_R1,MANANG,S1.3,P1231,R1,,Baseline (Dec 9 N)
MANANG_S1.3_P1231_R2,MANANG,S1.3,P1231,R2,,Baseline (Dec 9 N)
MANANG_S1.3_P1231_R3,MANANG,S1.3,P1231,R3,,Baseline (Dec 9 N)
MANANG_S1.3_P2312_R1,MANANG,S1.3,P2312,R1,,Baseline (Dec 9 N)
MANANG_S1.3_P2312_R2,MANANG,S1.3,P2312,R2,,Baseline (Dec 9 N)
MANANG_S1.3_P2312_R3,MANANG,S1.3,P2312,R3,,Baseline (Dec 9 N)
MANANG_S1.3_P3123_R1,MANANG,S1.3,P3123,R1,,Baseline (Dec 9 N)
MANANG_S1.3_P3123_R2,MANANG,S1.3,P3123,R2,,Baseline (Dec 9 N)
MANANG_S1.3_P3123_R3,MANANG,S1.3,P3123,R3,,Baseline (Dec 9 N)
MANANG_S10.1_P1231_R1,MANANG,S10.1,P1231,R1,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P1231_R2,MANANG,S10.1,P1231,R2,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P1231_R3,MANANG,S10.1,P1231,R3,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P2312_R1,MANANG,S10.1,P2312,R1,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P2312_R2,MANANG,S10.1,P2312,R2,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P2312_R3,MANANG,S10.1,P2312,R3,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P3123_R1,MANANG,S10.1,P3123,R1,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P3123_R2,MANANG,S10.1,P3123,R2,,Companion cropping (Nil N intercrop)
MANANG_S10.1_P3123_R3,MANANG,S10.1,P3123,R3,,Companion cropping (Nil N intercrop)
MANANG_S10.2_P1231_R1,MANANG,S10.2,P1231,R1,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P1231_R2,MANANG,S10.2,P1231,R2,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P1231_R3,MANANG,S10.2,P1231,R3,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P2312_R1,MANANG,S10.2,P2312,R1,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P2312_R2,MANANG,S10.2,P2312,R2,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P2312_R3,MANANG,S10.2,P2312,R3,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P3123_R1,MANANG,S10.2,P3123,R1,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P3123_R2,MANANG,S10.2,P3123,R2,,Companion cropping (Dec 5 N ntercrop)
MANANG_S10.2_P3123_R3,MANANG,S10.2,P3123,R3,,Companion cropping (Dec 5 N ntercrop)
MANANG_S11_P1212_R1,MANANG,S11,P1212,R1,,Companion cropping frequent
MANANG_S11_P1212_R2,MANANG,S11,P1212,R2,,Companion cropping frequent
MANANG_S11_P1212_R3,MANANG,S11,P1212,R3,,Companion cropping frequent
MANANG_S11_P2121_R1,MANANG,S11,P2121,R1,,Companion cropping frequent
MANANG_S11_P2121_R2,MANANG,S11,P2121,R2,,Companion cropping frequent
MANANG_S11_P2121_R3,MANANG,S11,P2121,R3,,Companion cropping frequent
MANANG_S12_P0000_R1,MANANG,S12,P0000,R1,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R2,MANANG,S12,P0000,R2,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R3,MANANG,S12,P0000,R3,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R4,MANANG,S12,P0000,R4,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R5,MANANG,S12,P0000,R5,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R6,MANANG,S12,P0000,R6,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R7,MANANG,S12,P0000,R7,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R8,MANANG,S12,P0000,R8,,Responsive: Adviser (risk-neutral)
MANANG_S12_P0000_R9,MANANG,S12,P0000,R9,,Responsive: Adviser (risk-neutral)
MANANG_S13_P0000_R1,MANANG,S13,P0000,R1,,Responsive: N bank
MANANG_S13_P0000_R2,MANANG,S13,P0000,R2,,Responsive: N bank
MANANG_S13_P0000_R3,MANANG,S13,P0000,R3,,Responsive: N bank
MANANG_S13_P0000_R4,MANANG,S13,P0000,R4,,Responsive: N bank
MANANG_S13_P0000_R5,MANANG,S13,P0000,R5,,Responsive: N bank
MANANG_S13_P0000_R6,MANANG,S13,P0000,R6,,Responsive: N bank
MANANG_S13_P0000_R7,MANANG,S13,P0000,R7,,Responsive: N bank
MANANG_S13_P0000_R8,MANANG,S13,P0000,R8,,Responsive: N bank
MANANG_S13_P0000_R9,MANANG,S13,P0000,R9,,Responsive: N bank
MANANG_S2_P1212_R1,MANANG,S2,P1212,R1,,More pulses
MANANG_S2_P1212_R2,MANANG,S2,P1212,R2,,More pulses
MANANG_S2_P1212_R3,MANANG,S2,P1212,R3,,More pulses
MANANG_S2_P2121_R1,MANANG,S2,P2121,R1,,More pulses
MANANG_S2_P2121_R2,MANANG,S2,P2121,R2,,More pulses
MANANG_S2_P2121_R3,MANANG,S2,P2121,R3,,More pulses
MANANG_S3_P1231_R1,MANANG,S3,P1231,R1,,Pulse on pulse
MANANG_S3_P1231_R2,MANANG,S3,P1231,R2,,Pulse on pulse
MANANG_S3_P1231_R3,MANANG,S3,P1231,R3,,Pulse on pulse
MANANG_S3_P2312_R1,MANANG,S3,P2312,R1,,Pulse on pulse
MANANG_S3_P2312_R2,MANANG,S3,P2312,R2,,Pulse on pulse
MANANG_S3_P2312_R3,MANANG,S3,P2312,R3,,Pulse on pulse
MANANG_S3_P3123_R1,MANANG,S3,P3123,R1,,Pulse on pulse
MANANG_S3_P3123_R2,MANANG,S3,P3123,R2,,Pulse on pulse
MANANG_S3_P3123_R3,MANANG,S3,P3123,R3,,Pulse on pulse
MANANG_S4_P1234_R1,MANANG,S4,P1234,R1,,Pulse-canola
MANANG_S4_P1234_R2,MANANG,S4,P1234,R2,,Pulse-canola
MANANG_S4_P1234_R3,MANANG,S4,P1234,R3,,Pulse-canola
MANANG_S4_P2341_R1,MANANG,S4,P2341,R1,,Pulse-canola
MANANG_S4_P2341_R2,MANANG,S4,P2341,R2,,Pulse-canola
MANANG_S4_P2341_R3,MANANG,S4,P2341,R3,,Pulse-canola
MANANG_S4_P3412_R1,MANANG,S4,P3412,R1,,Pulse-canola
MANANG_S4_P3412_R2,MANANG,S4,P3412,R2,,Pulse-canola
MANANG_S4_P3412_R3,MANANG,S4,P3412,R3,,Pulse-canola
MANANG_S4_P4123_R1,MANANG,S4,P4123,R1,,Pulse-canola
MANANG_S4_P4123_R2,MANANG,S4,P4123,R2,,Pulse-canola
MANANG_S4_P4123_R3,MANANG,S4,P4123,R3,,Pulse-canola
MANANG_S5_P1234_R1,MANANG,S5,P1234,R1,,More cereals
MANANG_S5_P1234_R2,MANANG,S5,P1234,R2,,More cereals
MANANG_S5_P1234_R3,MANANG,S5,P1234,R3,,More cereals
MANANG_S5_P2341_R1,MANANG,S5,P2341,R1,,More cereals
MANANG_S5_P2341_R2,MANANG,S5,P2341,R2,,More cereals
MANANG_S5_P2341_R3,MANANG,S5,P2341,R3,,More cereals
MANANG_S5_P3412_R1,MANANG,S5,P3412,R1,,More cereals
MANANG_S5_P3412_R2,MANANG,S5,P3412,R2,,More cereals
MANANG_S5_P3412_R3,MANANG,S5,P3412,R3,,More cereals
MANANG_S5_P4123_R1,MANANG,S5,P4123,R1,,More cereals
MANANG_S5_P4123_R2,MANANG,S5,P4123,R2,,More cereals
MANANG_S5_P4123_R3,MANANG,S5,P4123,R3,,More cereals
MANANG_S6_P1111_R1,MANANG,S6,P1111,R1,,Continous wheat
MANANG_S6_P1111_R2,MANANG,S6,P1111,R2,,Continous wheat
MANANG_S6_P1111_R3,MANANG,S6,P1111,R3,,Continous wheat
MANANG_S6_P1111_R4,MANANG,S6,P1111,R4,,Continous wheat
MANANG_S6_P1111_R5,MANANG,S6,P1111,R5,,Continous wheat
MANANG_S6_P1111_R6,MANANG,S6,P1111,R6,,Continous wheat
MANANG_S7_P1231_R1,MANANG,S7,P1231,R1,,Fallow
MANANG_S7_P1231_R2,MANANG,S7,P1231,R2,,Fallow
MANANG_S7_P1231_R3,MANANG,S7,P1231,R3,,Fallow
MANANG_S7_P2312_R1,MANANG,S7,P2312,R1,,Fallow
MANANG_S7_P2312_R2,MANANG,S7,P2312,R2,,Fallow
MANANG_S7_P2312_R3,MANANG,S7,P2312,R3,,Fallow
MANANG_S7_P3123_R1,MANANG,S7,P3123,R1,,Fallow
MANANG_S7_P3123_R2,MANANG,S7,P3123,R2,,Fallow
MANANG_S7_P3123_R3,MANANG,S7,P3123,R3,,Fallow
MANANG_S8.1_P1231_R1,MANANG,S8.1,P1231,R1,,Winter cover cropping (Early TOT)
MANANG_S8.1_P1231_R2,MANANG,S8.1,P1231,R2,,Winter cover cropping (Early TOT)
MANANG_S8.1_P1231_R3,MANANG,S8.1,P1231,R3,,Winter cover cropping (Early TOT)
MANANG_S8.1_P2312_R1,MANANG,S8.1,P2312,R1,,Winter cover cropping (Early TOT)
MANANG_S8.1_P2312_R2,MANANG,S8.1,P2312,R2,,Winter cover cropping (Early TOT)
MANANG_S8.1_P2312_R3,MANANG,S8.1,P2312,R3,,Winter cover cropping (Early TOT)
MANANG_S8.1_P3123_R1,MANANG,S8.1,P3123,R1,,Winter cover cropping (Early TOT)
MANANG_S8.1_P3123_R2,MANANG,S8.1,P3123,R2,,Winter cover cropping (Early TOT)
MANANG_S8.1_P3123_R3,MANANG,S8.1,P3123,R3,,Winter cover cropping (Early TOT)
MANANG_S8.2_P1231_R1,MANANG,S8.2,P1231,R1,,Winter cover cropping (Late TOT)
MANANG_S8.2_P1231_R2,MANANG,S8.2,P1231,R2,,Winter cover cropping (Late TOT)
MANANG_S8.2_P1231_R3,MANANG,S8.2,P1231,R3,,Winter cover cropping (Late TOT)
MANANG_S8.2_P2312_R1,MANANG,S8.2,P2312,R1,,Winter cover cropping (Late TOT)
MANANG_S8.2_P2312_R2,MANANG,S8.2,P2312,R2,,Winter cover cropping (Late TOT)
MANANG_S8.2_P2312_R3,MANANG,S8.2,P2312,R3,,Winter cover cropping (Late TOT)
MANANG_S8.2_P3123_R1,MANANG,S8.2,P3123,R1,,Winter cover cropping (Late TOT)
MANANG_S8.2_P3123_R2,MANANG,S8.2,P3123,R2,,Winter cover cropping (Late TOT)
MANANG_S8.2_P3123_R3,MANANG,S8.2,P3123,R3,,Winter cover cropping (Late TOT)
MANANG_S9_P1231_R1,MANANG,S9,P1231,R1,,Hay
MANANG_S9_P1231_R2,MANANG,S9,P1231,R2,,Hay
MANANG_S9_P1231_R3,MANANG,S9,P1231,R3,,Hay
MANANG_S9_P2312_R1,MANANG,S9,P2312,R1,,Hay
MANANG_S9_P2312_R2,MANANG,S9,P2312,R2,,Hay
MANANG_S9_P2312_R3,MANANG,S9,P2312,R3,,Hay
MANANG_S9_P3123_R1,MANANG,S9,P3123,R1,,Hay
MANANG_S9_P3123_R2,MANANG,S9,P3123,R2,,Hay
MANANG_S9_P3123_R3,MANANG,S9,P3123,R3,,Hay
ROSEWORTHY_S1.1_P1231_R1,ROSEWORTHY,S1.1,P1231,R1,,Baseline (SDP N)
ROSEWORTHY_S1.1_P1231_R2,ROSEWORTHY,S1.1,P1231,R2,,Baseline (SDP N)
ROSEWORTHY_S1.1_P1231_R3,ROSEWORTHY,S1.1,P1231,R3,,Baseline (SDP N)
ROSEWORTHY_S1.1_P2312_R1,ROSEWORTHY,S1.1,P2312,R1,,Baseline (SDP N)
ROSEWORTHY_S1.1_P2312_R2,ROSEWORTHY,S1.1,P2312,R2,,Baseline (SDP N)
ROSEWORTHY_S1.1_P2312_R3,ROSEWORTHY,S1.1,P2312,R3,,Baseline (SDP N)
ROSEWORTHY_S1.1_P3123_R1,ROSEWORTHY,S1.1,P3123,R1,,Baseline (SDP N)
ROSEWORTHY_S1.1_P3123_R2,ROSEWORTHY,S1.1,P3123,R2,,Baseline (SDP N)
ROSEWORTHY_S1.1_P3123_R3,ROSEWORTHY,S1.1,P3123,R3,,Baseline (SDP N)
ROSEWORTHY_S1.2_P1231_R1,ROSEWORTHY,S1.2,P1231,R1,,Baseline (BMP N)
ROSEWORTHY_S1.2_P1231_R2,ROSEWORTHY,S1.2,P1231,R2,,Baseline (BMP N)
ROSEWORTHY_S1.2_P1231_R3,ROSEWORTHY,S1.2,P1231,R3,,Baseline (BMP N)
ROSEWORTHY_S1.2_P2312_R1,ROSEWORTHY,S1.2,P2312,R1,,Baseline (BMP N)
ROSEWORTHY_S1.2_P2312_R2,ROSEWORTHY,S1.2,P2312,R2,,Baseline (BMP N)
ROSEWORTHY_S1.2_P2312_R3,ROSEWORTHY,S1.2,P2312,R3,,Baseline (BMP N)
ROSEWORTHY_S1.2_P3123_R1,ROSEWORTHY,S1.2,P3123,R1,,Baseline (BMP N)
ROSEWORTHY_S1.2_P3123_R2,ROSEWORTHY,S1.2,P3123,R2,,Baseline (BMP N)
ROSEWORTHY_S1.2_P3123_R3,ROSEWORTHY,S1.2,P3123,R3,,Baseline (BMP N)
ROSEWORTHY_S2_P1212_R1,ROSEWORTHY,S2,P1212,R1,,More pulses
ROSEWORTHY_S2_P1212_R2,ROSEWORTHY,S2,P1212,R2,,More pulses
ROSEWORTHY_S2_P1212_R3,ROSEWORTHY,S2,P1212,R3,,More pulses
ROSEWORTHY_S2_P2121_R1,ROSEWORTHY,S2,P2121,R1,,More pulses
ROSEWORTHY_S2_P2121_R2,ROSEWORTHY,S2,P2121,R2,,More pulses
ROSEWORTHY_S2_P2121_R3,ROSEWORTHY,S2,P2121,R3,,More pulses
ROSEWORTHY_S3_P1212_R1,ROSEWORTHY,S3,P1212,R1,,Winter cover cropping
ROSEWORTHY_S3_P1212_R2,ROSEWORTHY,S3,P1212,R2,,Winter cover cropping
ROSEWORTHY_S3_P1212_R3,ROSEWORTHY,S3,P1212,R3,,Winter cover cropping
ROSEWORTHY_S3_P2121_R1,ROSEWORTHY,S3,P2121,R1,,Winter cover cropping
ROSEWORTHY_S3_P2121_R2,ROSEWORTHY,S3,P2121,R2,,Winter cover cropping
ROSEWORTHY_S3_P2121_R3,ROSEWORTHY,S3,P2121,R3,,Winter cover cropping
ROSEWORTHY_S4_P1231_R1,ROSEWORTHY,S4,P1231,R1,,Intercropping
ROSEWORTHY_S4_P1231_R2,ROSEWORTHY,S4,P1231,R2,,Intercropping
ROSEWORTHY_S4_P1231_R3,ROSEWORTHY,S4,P1231,R3,,Intercropping
ROSEWORTHY_S4_P2312_R1,ROSEWORTHY,S4,P2312,R1,,Intercropping
ROSEWORTHY_S4_P2312_R2,ROSEWORTHY,S4,P2312,R2,,Intercropping
ROSEWORTHY_S4_P2312_R3,ROSEWORTHY,S4,P2312,R3,,Intercropping
ROSEWORTHY_S4_P3123_R1,ROSEWORTHY,S4,P3123,R1,,Intercropping
ROSEWORTHY_S4_P3123_R2,ROSEWORTHY,S4,P3123,R2,,Intercropping
ROSEWORTHY_S4_P3123_R3,ROSEWORTHY,S4,P3123,R3,,Intercropping
ROSEWORTHY_S5_P0000_R1,ROSEWORTHY,S5,P0000,R1,,Responsive: Adviser (risk-neutral)
ROSEWORTHY_S5_P0000_R2,ROSEWORTHY,S5,P0000,R2,,Responsive: Adviser (risk-neutral)
ROSEWORTHY_S5_P0000_R3,ROSEWORTHY,S5,P0000,R3,,Responsive: Adviser (risk-neutral)
